id,name,address,district,price,rating,lat,lon,tags
71,Bún Riêu (Gánh),4 Phan Bội Châu - Quận 1,TPHCM,55000,4.1,10.7730,106.7030,"TPHCM, Miền Nam, Bún riêu, Cua Ốc Huyết, Chợ Bến Thành"
72,Xôi Bắp (Ngô Quyền),109 Ngô Quyền - Quận 5,TPHCM,15000,4.4,10.7650,106.6700,"TPHCM, Việt Nam, Xôi bắp, Đậu xanh Hành phi, Sáng Mang đi"
73,Mì Vịt Tiềm,481 Nguyễn Tri Phương - Quận 10,TPHCM,70000,4.2,10.7560,106.6650,"TPHCM, Trung Hoa, Mì vịt tiềm, Vịt Thuốc bắc, Bổ dưỡng Đêm"
74,Hủ tiếu Mực (Ông Già),62 Tôn Thất Thiệp - Quận 1,TPHCM,45000,4.1,10.7700,106.6620,"TPHCM, Miền Nam, Hủ tiếu mực, Mực Tôm Thịt bằm, Sáng Trưa"
75,Don Chicken,25 Hồ Tùng Mậu - Quận 1,TPHCM,180000,4.3,10.7320,106.7080,"TPHCM, Hàn Quốc, Gà rán, Gà nướng Phô mai, Bạn bè Chuỗi"
76,Phở Thìn (Lò Đúc),13 Lò Đúc - Hai Bà Trưng,Hà Nội,60000,4.5,21.0170,105.8550,"Hà Nội, Miền Bắc, Phở, Bò Tái lăn, Truyền thống Nổi tiếng"
77,Bún Chả Hàng Mành (Đắc Kim),1 Hàng Mành - Hoàn Kiếm,Hà Nội,60000,4.3,21.0290,105.8480,"Hà Nội, Miền Bắc, Bún chả, Thịt nướng Nem, Truyền thống Trưa"
78,Chả Cá Lã Vọng (Chính gốc),14 Chả Cá - Hoàn Kiếm,Hà Nội,150000,4.2,21.0350,105.8450,"Hà Nội, Miền Bắc, Chả cá, Cá lăng Mắm tôm, Đặc sản Gia đình"
79,Cà Phê Giảng (Cafe Trứng),39 Nguyễn Hữu Huân - Hoàn Kiếm,Hà Nội,35000,4.6,21.0330,105.8510,"Hà Nội, Việt Nam, Cafe trứng, Trứng Sữa, Truyền thống Yên tĩnh"
80,Bánh Tôm Hồ Tây,1 Thanh Niên - Tây Hồ,Hà Nội,50000,4.1,21.0480,105.8380,"Hà Nội, Miền Bắc, Bánh tôm, Tôm Chiên giòn, View hồ Ăn vặt"
81,Phở Bò (Bát Đàn),49 Bát Đàn - Hoàn Kiếm,Hà Nội,55000,4.7,21.0320,105.8470,"Hà Nội, Miền Bắc, Phở bò, Bò Tái chín, Xếp hàng Truyền thống"
82,Bún Đậu (Ngõ Trạm),1B Ngõ Trạm - Hoàn Kiếm,Hà Nội,40000,4.2,21.0300,105.8460,"Hà Nội, Miền Bắc, Bún đậu, Mắm tôm Thịt luộc, Vỉa hè Bình dân"
83,Kem Tràng Tiền,35 Tràng Tiền - Hoàn Kiếm,Hà Nội,12000,4.5,21.0250,105.8560,"Hà Nội, Việt Nam, Kem, Đậu xanh Cốm, Ăn vặt Mang đi"
84,Bánh Cuốn (Bà Hoành),66 Tô Hiến Thành - Hai Bà Trưng,Hà Nội,35000,4.3,21.0150,105.8520,"Hà Nội, Miền Bắc, Bánh cuốn, Chả quế Thanh trì, Sáng Nhẹ nhàng"
85,Xôi Yến,35B Nguyễn Hữu Huân - Hoàn Kiếm,Hà Nội,40000,4.0,21.0340,105.8500,"Hà Nội, Miền Bắc, Xôi, Gà Pate Trứng, Nhanh Đêm"
86,Bia Hơi (Hải Xồm),86 Lê Trọng Tấn - Thanh Xuân,Hà Nội,80000,4.1,21.0380,105.7950,"Hà Nội, Việt Nam, Bia hơi, Mồi Nhậu, Vỉa hè Bạn bè"
87,Lẩu Ếch (Phó Đức Chính),5 Phó Đức Chính - Ba Đình,Hà Nội,200000,4.2,21.0450,105.8420,"Hà Nội, Miền Bắc, Lẩu ếch, Ếch Măng cay, Nhậu Vỉa hè"
88,Miến Lươn (Đồng),87 Hàng Điếu - Hoàn Kiếm,Hà Nội,45000,4.3,21.0310,105.8490,"Hà Nội, Miền Bắc, Miến lươn, Lươn giòn Nước, Sáng Truyền thống"
89,Bánh Mì (Phố Cổ),38 Đinh Liệt - Hoàn Kiếm,Hà Nội,30000,4.4,21.0305,105.8520,"Hà Nội, Miền Bắc, Bánh mì, Pate Truyền thống, Mang đi Du lịch"
90,Nộm Bò Khô (Hàm Long),23 Hàm Long - Hoàn Kiếm,Hà Nội,35000,4.2,21.0220,105.8540,"Hà Nội, Miền Bắc, Nộm bò, Bò khô Đu đủ, Ăn vặt Vỉa hè"
91,Bún Thang (Cầu Gỗ),48 Cầu Gỗ - Hoàn Kiếm,Hà Nội,40000,4.1,21.0335,105.8530,"Hà Nội, Miền Bắc, Bún thang, Gà Trứng Giò, Tinh tế Sáng"
92,Pizza (Capricciosa),Vincom Bà Triệu - Hai Bà Trưng,Hà Nội,220000,4.5,21.0210,105.8510,"Hà Nội, Ý, Pizza, Pasta Phô mai, Gia đình Hẹn hò"
93,Cháo Trai (Trần Xuân Soạn),26 Trần Xuân Soạn - Hai Bà Trưng,Hà Nội,30000,4.3,21.0180,105.8550,"Hà Nội, Miền Bắc, Cháo trai, Trai Quẩy, Sáng Chiều Vỉa hè"
94,Lẩu Riêu Cua (Bà Sáu),19 Hàng Lược - Hoàn Kiếm,Hà Nội,250000,4.2,21.0370,105.8350,"Hà Nội, Miền Bắc, Lẩu riêu, Cua Bò sườn, Gia đình Nhậu"
95,Phở Gà (Nguyệt),5 Phủ Doãn - Hoàn Kiếm,Hà Nội,50000,4.4,21.0280,105.8430,"Hà Nội, Miền Bắc, Phở gà, Gà ta Trộn, Đêm Đông đúc"
96,Nem Chua Nướng (Ấu Triệu),10 Ấu Triệu - Hoàn Kiếm,Hà Nội,6000,4.5,21.0295,105.8495,"Hà Nội, Miền Bắc, Nem chua, Nướng Than hoa, Ăn vặt Ngõ"
97,Bánh Gối (Lý Quốc Sư),52 Lý Quốc Sư - Hoàn Kiếm,Hà Nội,20000,4.2,21.0300,105.8490,"Hà Nội, Miền Bắc, Bánh gối, Thịt Trứng cút, Chiên Ăn vặt"
98,Cafe Đinh,13 Đinh Tiên Hoàng - Hoàn Kiếm,Hà Nội,30000,4.6,21.0325,105.8535,"Hà Nội, Việt Nam, Cafe trứng, Trứng Ca cao, Cổ kính View hồ"
99,Bò Nhúng Dấm (555),52 Trung Hòa - Cầu Giấy,Hà Nội,150000,4.1,21.0360,105.8300,"Hà Nội, Việt Nam, Lẩu bò, Bò Nhúng dấm, Chuỗi Gia đình"
100,Vịt Cỏ (Vân Đình),Hà Đông,Hà Nội,120000,4.3,20.9950,105.8050,"Hà Nội, Miền Bắc, Vịt cỏ, Nướng Luộc Tiết canh, Nhậu Dân dã"
101,Bún Ốc (Cô Huệ),43 Nguyễn Siêu - Hoàn Kiếm,Hà Nội,40000,4.2,21.0190,105.8560,"Hà Nội, Miền Bắc, Bún ốc, Ốc Nguội Chua thanh, Cổ truyền Sáng"
102,Tào Phớ (Nghĩa Tân),106C2 Nghĩa Tân - Cầu Giấy,Hà Nội,10000,4.4,21.0420,105.7920,"Hà Nội, Việt Nam, Tào phớ, Thạch Trân châu, Giải khát Rẻ"
103,Bánh Đa Cua (Hàng Bạc),14 Hàng Bạc - Hoàn Kiếm,Hà Nội,35000,4.1,21.0330,105.8525,"Hà Nội, Miền Bắc, Bánh đa, Cua Rau cần, Trưa Nhanh"
104,Bánh Giò (Đông Các),33 Đông Các - Đống Đa,Hà Nội,15000,4.3,21.0200,105.8250,"Hà Nội, Miền Bắc, Bánh giò, Thịt Xúc xích, Chiều Nóng"
105,Bánh Mì Chảo (Thái Thịnh),35 Thái Thịnh - Đống Đa,Hà Nội,50000,4.2,21.0080,105.8200,"Hà Nội, Việt Nam, Bánh mì chảo, Pate Trứng Bò, Sốt vang Học sinh"
106,Bò Bít Tết (Hòe Nhai),3 Hòe Nhai - Ba Đình,Hà Nội,80000,4.1,21.0400,105.8450,"Hà Nội, Âu, Bít tết, Bò Khoai chiên, Bình dân Vỉa hè"
107,Lẩu Nướng (Gật Gù),134 Nguyễn Khánh Toàn - Cầu Giấy,Hà Nội,150000,4.0,21.0550,105.8300,"Hà Nội, Á, Buffet, Lẩu Nướng, Sinh viên Rẻ"
108,Bún Cá (Sâm Cây Si),5 Ngõ Trung Yên - Hoàn Kiếm,Hà Nội,40000,4.3,21.0315,105.8485,"Hà Nội, Miền Bắc, Bún cá, Cá giòn Chả cá, Ngõ Trưa"
109,Cà Phê (Cộng),27 Nhà Thờ - Hoàn Kiếm,Hà Nội,50000,4.5,21.0300,105.8500,"Hà Nội, Việt Nam, Cafe, Cốt dừa Cốm, Bao cấp Checkin"
110,Bánh Tráng Cuốn Thịt Heo (Hoàng Bèo),40 Duy Tân - Cầu Giấy,Hà Nội,80000,4.2,21.0150,105.8350,"Hà Nội, Miền Trung, Bánh tráng cuốn, Thịt heo Mắm nêm, Chuỗi Văn phòng"
111,Gà Tần (Mai Hương),12 Hàng Cót - Hoàn Kiếm,Hà Nội,50000,4.3,21.0050,105.8510,"Hà Nội, Miền Bắc, Gà tần, Thuốc bắc Ngải cứu, Bổ dưỡng Đêm"
112,Chân Gà Nướng (Mỹ Miều),Phạm Ngọc Thạch - Đống Đa,Hà Nội,10000,4.1,21.0100,105.8300,"Hà Nội, Việt Nam, Chân gà, Nướng Mật ong, Nhậu Đêm"
113,Bún Ngan (Nhàn),14 Ngõ Trung Yên - Hoàn Kiếm,Hà Nội,45000,4.4,21.0310,105.8460,"Hà Nội, Miền Bắc, Bún ngan, Ngan Măng, Trưa Xếp hàng"
114,Quẩy Nóng (Hàng Bông),73 Hàng Bông - Hoàn Kiếm,Hà Nội,5000,4.2,21.0290,105.8475,"Hà Nội, Việt Nam, Quẩy, Chiên Nóng, Ăn vặt Mùa đông"
115,Trà Chanh (Nhà Thờ),Khu Nhà Thờ Lớn - Hoàn Kiếm,Hà Nội,20000,4.5,21.0285,105.8495,"Hà Nội, Việt Nam, Trà chanh, Hướng dương, Vỉa hè Chém gió"
116,Phở Xào (Bát Đàn),32 Bát Đàn - Hoàn Kiếm,Hà Nội,60000,4.3,21.0320,105.8470,"Hà Nội, Miền Bắc, Phở xào, Bò Rau cải, Tối Săn chắc"
117,Bánh Khúc (Cô Lan),69B Nguyễn Công Trứ - Hai Bà Trưng,Hà Nội,15000,4.4,21.0180,105.8540,"Hà Nội, Miền Bắc, Bánh khúc, Xôi Đỗ xanh, Sáng Đêm Mang đi"
118,Lẩu Thái (Coca Suki),75 Láng Hạ - Đống Đa,Hà Nội,300000,4.5,21.0320,105.8280,"Hà Nội, Thái Lan, Lẩu thái, Tomyum Hải sản, Sang trọng Chuỗi"
119,Mì Gà Tần (Cây Táo),23 Hàng Cân - Hoàn Kiếm,Hà Nội,50000,4.2,21.0350,105.8480,"Hà Nội, Miền Bắc, Mì gà tần, Thuốc bắc, Ăn khuya"
120,Bún Bò Nam Bộ (Bách Phương),67 Hàng Điếu - Hoàn Kiếm,Hà Nội,60000,4.6,21.0310,105.8505,"Hà Nội, Miền Nam, Bún bò trộn, Lạc Hành phi, Chua ngọt Khách tây"
121,Chè (Bốn Mùa),4 Hàng Cân - Hoàn Kiếm,Hà Nội,25000,4.4,21.0345,105.8520,"Hà Nội, Miền Bắc, Chè, Sen Đỗ đen, Truyền thống Mát"
122,Gà Không Lối Thoát (Hương Việt),88 Ngô Thì Nhậm - Hai Bà Trưng,Hà Nội,250000,4.3,21.0400,105.7850,"Hà Nội, Việt Nam, Gà bọc xôi, Gà nướng Chiên, Gia đình Lạ"
123,King BBQ,Royal City - Thanh Xuân,Hà Nội,300000,4.4,21.0280,105.8250,"Hà Nội, Hàn Quốc, Nướng, Bò Mỹ Buffet, TTTM Gia đình"
124,Dimsum (Long Đình),64B Quán Sứ - Hoàn Kiếm,Hà Nội,350000,4.7,21.0250,105.8530,"Hà Nội, Trung Hoa, Dimsum, Vịt quay, Sang trọng Tiếp khách"
125,Bánh Đúc Nóng (Trung Tự),116C2 Trung Tự - Đống Đa,Hà Nội,15000,4.3,21.0080,105.8320,"Hà Nội, Miền Bắc, Bánh đúc nóng, Thịt băm Mộc nhĩ, Chiều Đông"
126,Nem Lụi (Huế),Phan Huy Ích - Ba Đình,Hà Nội,40000,4.1,21.0160,105.8280,"Hà Nội, Miền Trung, Nem lụi, Nướng Cuốn, Ăn vặt"
127,Bò Nướng (Xuân Xuân),47 Mã Mây - Hoàn Kiếm,Hà Nội,100000,4.0,21.0340,105.8500,"Hà Nội, Việt Nam, Bò nướng, Nầm nướng Giấy bạc, Vỉa hè Khói"
128,Ốc (Trang),Đinh Liệt - Hoàn Kiếm,Hà Nội,100000,4.2,21.0220,105.8400,"Hà Nội, Miền Bắc, Ốc, Luộc Xào me, Vỉa hè Đắt khách"
129,Bún Dọc Mùng (Bát Đàn),18 Bát Đàn - Hoàn Kiếm,Hà Nội,35000,4.1,21.0320,105.8470,"Hà Nội, Miền Bắc, Bún dọc mùng, Mọc Thịt chân giò, Sáng Thanh đạm"
